Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
"Hegmann, Jones and Schiller",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Emily Johnson,04/24/24,SAAS,Churned Customer,7,,,2931,80,12/05/24,05/07/24
"Heidenreich, Bergnaum and Gleason",Spain,40.416775,-3.70379,Education & Science,Medium (201-500),Jessica Martinez,01/30/24,SAAS,Churned Customer,7,,,7888,10,08/09/24,02/28/24
Senger-Deckow,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Emily Johnson,03/30/24,SAAS,Churned Customer,7,,,6007,50,11/22/24,07/08/24
"Krajcik, Hagenes and Cronin",Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Emily Johnson,01/19/24,SAAS,Churned Customer,7,,,6718,60,03/05/24,02/23/24
"Parisian, Kub and Wilderman",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Sarah Davis,01/31/24,SAAS,Churned Customer,7,,,4828,100,01/25/25,02/16/24
Funk-Herman,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Emily Johnson,04/19/24,SAAS,Churned Customer,7,,,3672,90,08/24/24,07/27/24
Mraz Group,Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Laura Thompson,03/23/24,Custom solution,Churned Customer,7,,,4088,20,11/28/24,06/09/24
Oberbrunner-Moore,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),David Wilson,02/04/24,Services,Churned Customer,7,,,1748,60,03/17/24,02/23/24
McLaughlin-Schmidt,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Sarah Davis,02/15/24,Custom solution,Churned Customer,7,,,3420,80,10/04/24,04/08/24
"Hane, Berge and Gleason",Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,05/05/24,Services,Churned Customer,7,,,3736,90,10/07/24,07/04/24
Mynte,Italy,41.902782,12.496366,Education & Science,Large (501-1000),Michael Brown,04/03/24,SAAS,Churned Customer,7,,,13020,30,10/13/24,05/11/24
"Borer, Cremin and Rolfson",Switzerland,46.204391,6.143158,Government Administration Healthcare,Large (501-1000),Sarah Davis,05/29/24,Services,Churned Customer,7,,,12088,60,04/11/25,09/07/24
Hyatt and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Large (501-1000),John Smith,03/13/24,Services,Churned Customer,7,,,8026,100,11/18/24,03/16/24
Hamill-Purdy,Italy,41.902782,12.496366,IT & IT Services,Large (501-1000),Michael Brown,01/18/24,Services,Churned Customer,7,,,15725,10,07/09/24,04/29/24
Wiegand LLC,Switzerland,46.204391,6.143158,IT & IT Services,Large (501-1000),Jessica Martinez,04/12/24,SAAS,Churned Customer,7,,,4292,20,07/18/24,05/07/24
Bogan-Goldner,Netherlands,52.370216,4.895168,Telecommunications,Large (501-1000),Laura Thompson,03/07/24,Custom solution,Churned Customer,7,,,15281,30,07/17/24,03/18/24
Gabtune,Germany,52.520008,13.404954,Government Administration Healthcare,Enterprise (1001+),Emily Johnson,03/07/24,SAAS,Churned Customer,7,,,18599,30,07/27/24,06/11/24
"Vandervort, Mosciski and White",France,48.864716,2.349014,Transportation & Logistics,Enterprise (1001+),Laura Thompson,01/06/24,Custom solution,Churned Customer,7,,,2916,20,09/10/24,04/07/24
Labadie-Rath,Netherlands,52.370216,4.895168,Agriculture & Mining,Enterprise (1001+),Laura Thompson,04/25/24,Custom solution,Churned Customer,7,,,13151,100,06/09/24,08/01/24
Berge LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Enterprise (1001+),John Smith,04/08/24,Services,Churned Customer,7,,,13724,40,05/01/24,05/31/24
"Cole, McKenzie and Lakin",Italy,41.902782,12.496366,Transportation & Logistics,Enterprise (1001+),Jessica Martinez,02/28/24,Custom solution,Churned Customer,7,,,2038,30,08/03/24,06/16/24
Quigley-Monahan,Germany,52.520008,13.404954,Education & Science,Enterprise (1001+),David Wilson,05/14/24,Services,Churned Customer,7,,,16079,50,01/19/25,06/01/24
Rhycero,France,48.864716,2.349014,Banking and Finance,Small (11-200),Sarah Davis,02/07/24,Custom solution,Customer,6,,,480,50,11/07/24,03/06/24
Quimba,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,03/29/24,Services,Customer,6,,,1055,90,01/01/25,07/08/24
Edgeblab,Belgium,51.260197,4.402771,Agriculture & Mining,Small (11-200),Laura Thompson,01/26/24,Services,Customer,6,,,919,60,04/20/24,03/22/24
Twitternation,Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Jessica Martinez,01/09/24,SAAS,Customer,6,,,1130,50,10/15/24,03/12/24
"Hoeger, Flatley and Anderson",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,04/20/24,SAAS,Customer,6,,,1936,40,02/21/25,06/14/24
"Hermiston, Ziemann and Howell",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,02/05/24,Services,Customer,6,,,1643,30,08/12/24,05/30/24
"Monahan, Ondricka and Nienow",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),John Smith,05/08/24,SAAS,Customer,6,,,1023,20,01/24/25,05/30/24
"Kovacek, Hermiston and McCullough",Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),John Smith,04/27/24,SAAS,Customer,6,,,1086,30,07/22/24,06/12/24
Macejkovic LLC,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,02/26/24,SAAS,Customer,6,,,710,40,08/18/24,05/29/24
Keeling-Sauer,Portugal,38.736946,-9.142685,Retail & Distribution,Small (11-200),Emily Johnson,02/17/24,Services,Customer,6,,,1986,50,07/17/24,03/08/24
Berge Group,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,01/22/24,Services,Customer,6,,,765,50,07/12/24,04/07/24
Jenkins-Turcotte,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,03/18/24,Services,Customer,6,,,1071,30,06/03/24,05/25/24
Kutch LLC,France,48.864716,2.349014,Banking and Finance,Small (11-200),Jessica Martinez,02/20/24,SAAS,Customer,6,,,1189,20,05/06/24,04/12/24
Durgan-Little,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,03/05/24,SAAS,Customer,6,,,387,40,05/23/24,06/17/24
Hilpert-Wyman,Austria,48.210033,16.363449,Manufacturing & Production,Small (11-200),John Smith,03/29/24,Services,Customer,6,,,404,70,05/30/24,06/10/24
Stiedemann-Roob,Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Jessica Martinez,04/22/24,SAAS,Customer,6,,,789,50,09/03/24,06/08/24
"Reichel, Runolfsdottir and Stoltenberg",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Emily Johnson,02/26/24,Services,Customer,6,,,371,40,08/10/24,05/09/24
"Terry, Jenkins and Baumbach",Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Kevin Anderson,05/13/24,SAAS,Customer,6,,,202,50,10/10/24,08/25/24
Runolfsdottir-O'Conner,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,05/12/24,Custom solution,Customer,6,,,951,30,09/13/24,05/21/24
Kutch Group,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Jessica Martinez,04/16/24,Services,Customer,6,,,633,30,07/28/24,05/29/24
"Corwin, Abbott and Robel",Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Kevin Anderson,04/20/24,SAAS,Customer,6,,,971,90,07/13/24,06/06/24
"Ward, Kuhic and Torp",Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),John Smith,02/21/24,SAAS,Customer,6,,,1676,10,11/18/24,06/02/24
Beier-Lang,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,04/16/24,SAAS,Customer,6,,,809,30,06/22/24,07/28/24
"Auer, Hackett and Bruen",Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Michael Brown,02/28/24,Custom solution,Customer,6,,,304,90,06/24/24,05/05/24
"Buckridge, Brekke and Daniel",Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Jessica Martinez,04/12/24,SAAS,Customer,6,,,1584,40,05/06/24,06/22/24
Fay Inc,France,48.864716,2.349014,Education & Science,Small (11-200),Kevin Anderson,05/22/24,Custom solution,Customer,6,,,894,30,02/19/25,08/11/24
"Braun, Goldner and Durgan",France,48.864716,2.349014,Recreation & Sports,Small (11-200),Sarah Davis,04/17/24,SAAS,Customer,6,,,1067,30,03/23/25,04/22/24
Gibson-Hettinger,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),Laura Thompson,01/31/24,Services,Customer,6,,,1313,40,06/30/24,02/21/24
"Gutmann, Kunze and Schaden",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Sarah Davis,01/19/24,Services,Customer,6,,,1219,30,04/05/24,02/27/24
Schamberger-Dicki,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Laura Thompson,03/06/24,Services,Customer,6,,,1363,30,05/11/24,03/21/24
Harvey Inc,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),David Wilson,01/10/24,Custom solution,Customer,6,,,1693,80,10/31/24,01/10/24
"Bins, Lakin and Daugherty",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Sarah Davis,01/04/24,SAAS,Customer,6,,,844,70,12/18/24,02/19/24
"Reynolds, Bogisich and Block",Spain,40.416775,-3.70379,Entertainment & Media & Hospitality,Small (11-200),Emily Johnson,05/23/24,Custom solution,Customer,6,,,1336,80,01/13/25,08/12/24
"Auer, Schmeler and Morissette",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Emily Johnson,03/11/24,Services,Customer,6,,,267,90,04/06/24,03/30/24
Hegmann Group,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Laura Thompson,01/11/24,Custom solution,Customer,6,,,559,40,11/23/24,05/01/24
Will-Stamm,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Jessica Martinez,03/26/24,Custom solution,Customer,6,,,1204,20,06/11/24,06/19/24
Goldner-Weimann,France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,02/21/24,Services,Customer,6,,,1938,20,02/12/25,03/17/24
Hodkiewicz-Howe,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,04/25/24,SAAS,Customer,6,,,985,40,02/28/25,08/21/24
Keeling Inc,France,48.864716,2.349014,Telecommunications,Small (11-200),Michael Brown,02/07/24,Services,Customer,6,,,1787,60,08/18/24,05/16/24
Harris Inc,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,03/23/24,SAAS,Customer,6,,,1949,50,03/17/25,05/09/24
Roberts and Sons,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Kevin Anderson,01/19/24,Services,Customer,6,,,1964,70,10/08/24,03/03/24
Hauck-Beahan,Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Laura Thompson,04/03/24,Services,Customer,6,,,825,50,09/03/24,08/01/24
"Ryan, Toy and O'Reilly",France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,05/28/24,SAAS,Customer,6,,,559,90,03/23/25,08/02/24
Orn Inc,Germany,52.520008,13.404954,Telecommunications,Small (11-200),Michael Brown,02/03/24,Services,Customer,6,,,1905,30,07/29/24,06/02/24
Kuhlman Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),John Smith,03/14/24,SAAS,Customer,6,,,1472,30,04/18/24,07/01/24
"Von, Becker and Fisher",Netherlands,52.370216,4.895168,Government Administration Healthcare,Small (11-200),Michael Brown,01/10/24,SAAS,Customer,6,,,623,30,10/25/24,03/01/24
"Mertz, Casper and Klein",Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Michael Brown,03/16/24,Services,Customer,6,,,555,50,02/20/25,06/05/24
"Botsford, King and Steuber",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,05/04/24,SAAS,Customer,6,,,1662,40,09/30/24,07/11/24
Funk-Hane,France,48.864716,2.349014,Telecommunications,Small (11-200),Jessica Martinez,04/09/24,Services,Customer,6,,,928,20,01/30/25,07/14/24
Hartmann-Pollich,Spain,40.416775,-3.70379,Transportation & Logistics,Small (11-200),David Wilson,04/11/24,Services,Customer,6,,,901,10,02/04/25,06/08/24
Frami-Gusikowski,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Laura Thompson,03/20/24,SAAS,Customer,6,,,954,70,06/08/24,07/09/24
Lueilwitz Inc,France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Emily Johnson,02/08/24,SAAS,Customer,6,,,1328,40,03/07/24,04/01/24
Kreiger-Rice,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Michael Brown,02/10/24,SAAS,Customer,6,,,1707,100,11/22/24,04/26/24
Blick Inc,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),John Smith,01/07/24,SAAS,Customer,6,,,513,90,03/13/24,03/23/24
Bauch-Morar,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,05/08/24,Custom solution,Customer,6,,,1563,20,08/05/24,06/05/24
"Auer, Deckow and Torp",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Jessica Martinez,02/29/24,SAAS,Customer,6,,,1898,40,10/24/24,05/04/24
Kuvalis-Strosin,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,03/25/24,Custom solution,Customer,6,,,480,40,04/23/24,06/04/24
Hintz-Fadel,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,02/22/24,SAAS,Customer,6,,,563,40,02/15/25,05/11/24
Kiehn-Bernier,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,01/07/24,Custom solution,Customer,6,,,583,60,11/24/24,03/20/24
Zooxo,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Sarah Davis,02/14/24,Services,Customer,6,,,974,100,01/22/25,05/20/24
Jetpulse,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),John Smith,04/18/24,SAAS,Customer,6,,,595,20,01/26/25,05/19/24
InnoZ,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Emily Johnson,01/20/24,SAAS,Customer,6,,,283,20,11/01/24,04/20/24
Chatterpoint,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Michael Brown,03/10/24,SAAS,Customer,6,,,545,30,06/01/24,05/30/24
Trunyx,Spain,40.416775,-3.70379,Transportation & Logistics,Micro (1-10),David Wilson,02/24/24,Services,Customer,6,,,1024,30,08/30/24,04/02/24
"Luettgen, Franecki and Roberts",Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Jessica Martinez,02/10/24,SAAS,Customer,6,,,308,40,11/14/24,06/02/24
"Kilback, Cremin and Bergnaum",Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,05/23/24,Services,Customer,6,,,828,60,09/18/24,07/03/24
Toy-O'Hara,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),John Smith,01/16/24,SAAS,Customer,6,,,809,20,09/10/24,03/28/24
"Lubowitz, Herman and Fisher",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,04/22/24,SAAS,Customer,6,,,535,20,11/19/24,06/19/24
"Schulist, Bailey and Dickens",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Kevin Anderson,04/03/24,SAAS,Customer,6,,,1129,20,04/24/24,07/28/24
Jakubowski-Purdy,Spain,40.416775,-3.70379,Professional Services  & Consulting,Micro (1-10),Michael Brown,04/04/24,SAAS,Customer,6,,,1116,100,05/19/24,06/19/24
Hackett LLC,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Michael Brown,04/02/24,Services,Customer,6,,,1039,80,10/18/24,04/09/24
Gottlieb Group,Netherlands,52.370216,4.895168,Retail & Distribution,Micro (1-10),Jessica Martinez,01/31/24,SAAS,Customer,6,,,674,30,04/13/24,01/31/24
Hermiston-Hyatt,Switzerland,46.204391,6.143158,Agriculture & Mining,Micro (1-10),Sarah Davis,05/18/24,Custom solution,Customer,6,,,1017,20,09/24/24,07/03/24
Goldner LLC,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Laura Thompson,04/08/24,SAAS,Customer,6,,,824,20,09/16/24,05/15/24
"Deckow, Dicki and Pagac",Spain,40.416775,-3.70379,Professional Services  & Consulting,Micro (1-10),David Wilson,02/24/24,Services,Customer,6,,,302,40,05/09/24,04/15/24
Kuphal-Wuckert,Belgium,51.260197,4.402771,Transportation & Logistics,Micro (1-10),Michael Brown,05/02/24,SAAS,Customer,6,,,1076,40,06/12/24,05/31/24
Yundt-McLaughlin,Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Laura Thompson,04/17/24,SAAS,Customer,6,,,724,60,03/01/25,05/13/24
"D'Amore, Auer and Wilkinson",Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),Laura Thompson,01/11/24,Services,Customer,6,,,406,10,04/24/24,03/06/24
Fahey-Kulas,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Sarah Davis,01/29/24,Services,Customer,6,,,622,10,11/26/24,03/09/24
"Osinski, Langworth and Auer",Switzerland,46.204391,6.143158,Agriculture & Mining,Micro (1-10),Michael Brown,05/22/24,SAAS,Customer,6,,,717,30,05/08/25,07/20/24
"Hane, Hettinger and Denesik",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Laura Thompson,03/17/24,Custom solution,Customer,6,,,1081,80,04/29/24,04/14/24
Rohan Inc,Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),Laura Thompson,05/04/24,SAAS,Customer,6,,,1127,80,06/22/24,06/25/24
"Koelpin, Bahringer and Beatty",Netherlands,52.370216,4.895168,Education & Science,Micro (1-10),Laura Thompson,05/08/24,Services,Customer,6,,,667,60,02/03/25,06/03/24
Flatley-Metz,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Kevin Anderson,05/20/24,Services,Customer,6,,,541,30,01/14/25,06/10/24
Reilly-Dicki,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,01/19/24,SAAS,Customer,6,,,988,60,06/15/24,04/04/24
"Pagac, Marvin and Wilkinson",France,48.864716,2.349014,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,01/25/24,Services,Customer,6,,,659,40,11/11/24,03/08/24
Stanton-Adams,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Emily Johnson,02/19/24,Custom solution,Customer,6,,,214,30,10/05/24,03/12/24
"Ward, Rau and Ledner",Belgium,51.260197,4.402771,Agriculture & Mining,Micro (1-10),Laura Thompson,01/27/24,SAAS,Customer,6,,,248,30,01/13/25,04/02/24
Thiel-Ullrich,Austria,48.210033,16.363449,Recreation & Sports,Micro (1-10),Laura Thompson,03/13/24,Services,Customer,6,,,609,30,05/24/24,06/24/24
Johnson-Macejkovic,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),John Smith,04/22/24,Services,Customer,6,,,651,20,08/08/24,06/06/24
Koch-Lakin,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,03/29/24,SAAS,Customer,6,,,341,60,07/21/24,06/23/24
Bauch-Fritsch,Belgium,51.260197,4.402771,Professional Services  & Consulting,Micro (1-10),Laura Thompson,05/18/24,SAAS,Customer,6,,,1140,20,05/05/25,08/15/24
"Kihn, Swaniawski and Lebsack",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),David Wilson,02/02/24,SAAS,Customer,6,,,801,40,05/07/24,04/14/24
Barrows LLC,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Kevin Anderson,05/17/24,Services,Customer,6,,,200,20,07/12/24,08/12/24
"Langworth, Lemke and Carroll",Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Sarah Davis,02/21/24,Services,Customer,6,,,1048,80,10/12/24,05/25/24
"Kilback, Johns and Dicki",Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Laura Thompson,02/05/24,Services,Customer,6,,,1130,40,03/25/24,02/22/24
"Labadie, Sawayn and Ruecker",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Kevin Anderson,04/02/24,SAAS,Customer,6,,,237,50,11/03/24,05/21/24
Kazio,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Kevin Anderson,02/25/24,SAAS,Customer,6,,,947,30,08/17/24,03/01/24
